theme,start,end
Alaska,50912,51204
Mandolin,51205,51518
Insect,51519,51749
Race_(human_categorization),51750,51970
Paris,51971,52237
Apollo,52238,52350
"United_States_presidential_election,_2004",52351,52535
Liberal_Party_of_Australia,52536,52674
Samurai,52675,52835
Software_testing,52836,52991
States_of_Germany,52992,53182
Glass,53183,53357
Renewable_energy_commercialization,53358,53551
Palermo,53552,53684
Green,53685,53841
Neoclassical_architecture,53842,53973
Serbo-Croatian,53974,54103
CBC_Television,54104,54235
IBM,54236,54421
Energy,54422,54624
East_Prussia,54625,54775
Ottoman_Empire,54776,54991
Philosophy_of_space_and_time,54992,55133
Neolithic,55134,55283
Friedrich_Hayek,55284,55431
Diarrhea,55432,55558
Madrasa,55559,55772
Miami,55773,56079
Philadelphia,56080,56259
John_Kerry,56260,56434
Rajasthan,56435,56606
Guam,56607,56827
Empiricism,56828,57001
Idealism,57002,57200
Czech_language,57201,57386
Education,57387,57570
Tennessee,57571,57742
Canadian_football,57743,57915
Seven_Years%27_War,57916,58134
Cyprus,58135,58305
Steven_Spielberg,58306,58669
Elevator,58670,58827
Railway_electrification_system,58828,59062
Spanish_language_in_the_United_States,59063,59254
"Charleston,_South_Carolina",59255,59597
The_Blitz,59598,59891
Vacuum,59892,60093
Quran,60094,60364
Geography_of_the_United_States,60365,60507
Compact_disc,60508,60657
Modern_history,60658,60991
Flowering_plant,60992,61144
Hyderabad,61145,61323
"Santa_Monica,_California",61324,61475
Pain,61476,61676
Database,61677,61884
"Tucson,_Arizona",61885,62143
Bacteria,62144,62293
Printed_circuit_board,62294,62513
Greeks,62514,62846
Premier_League,62847,63217
Roman_Republic,63218,63491
Pacific_War,63492,63750
San_Diego,63751,64078
Iran,64079,64268
British_Isles,64269,64510
Association_football,64511,64703
Georgian_architecture,64704,64842
Liberia,64843,64987
Alfred_North_Whitehead,64988,65339
Antibiotics,65340,65549
Windows_8,65550,65850
Swaziland,65851,66022
Translation,66023,66219
Airport,66220,66374
Super_Nintendo_Entertainment_System,66375,66532
Sumer,66533,66726
Tuvalu,66727,66931
Namibia,66932,67181
Russian_language,67182,67370
United_States_Air_Force,67371,67534
Light-emitting_diode,67535,67805
Great_power,67806,67940
Bird,67941,68107
Qing_dynasty,68108,68334
Indigenous_peoples_of_the_Americas,68335,68525
Red,68526,68824
Mosaic,68825,69049
University,69050,69260
Religion_in_ancient_Rome,69261,69543
YouTube,69544,69778
Separation_of_church_and_state_in_the_United_States,69779,70050
Bras%C3%ADlia,70051,70208
Economy_of_Greece,70209,70405
Party_leaders_of_the_United_States_House_of_Representatives,70406,70587
Armenians,70588,70764
Jehovah%27s_Witnesses,70765,71069
Dwight_D._Eisenhower,71070,71375
The_Bronx,71376,71557
Financial_crisis_of_2007%E2%80%9308,71558,71836
Portugal,71837,72144
Humanism,72145,72327
Geological_history_of_Earth,72328,72491
Police,72492,72739
Genocide,72740,72937
Saint_Barth%C3%A9lemy,72938,73108
Tajikistan,73109,73327
University_of_Notre_Dame,73328,73525
Anthropology,73526,73776
Montana,73777,73885
"Punjab,_Pakistan",73886,74062
Infection,74063,74262
Hunting,74263,74637
Kathmandu,74638,74831
Myocardial_infarction,74832,74924
Matter,74925,75029
