,question_id,answers,paragraph_id
78,78,['audio input jacks'],[21]
79,79,['individual seat-back displays'],[22]
80,80,"['United, Continental, Delta, and Emirates']",[22]
81,81,['2007'],[22]
82,82,['Apple Lossless'],[23]
83,83,['iPod photo'],[23]
84,84,['WMA'],[23]
85,85,['Digital Rights Management'],[23]
86,86,"['MP3, AAC/M4A, Protected AAC, AIFF, WAV, Audible audiobook, and Apple Lossless']",[23]
87,87,['iPod photo'],[23]
88,88,['one'],[24]
89,89,['library'],[24]
90,90,['host computer'],[24]
91,91,['five'],[25]
92,92,['click wheel'],[25]
93,93,['iPhone'],[25]
94,94,['five'],[25]
95,95,['Shuffle'],[25]
96,96,['iTunes'],[26]
97,97,"['October 12, 2005']",[26]
98,98,"['September 12, 2006']",[26]
99,99,['2003'],[26]
100,100,['AAC'],[27]
101,101,['five'],[27]
102,102,['iTunes Plus'],[27]
103,103,"['January 6, 2009']",[27]
104,104,['AAC'],[27]
105,105,['iTunes Plus'],[27]
106,106,['iPods'],[28]
107,107,['DRM'],[28]
108,108,['Universal Music Group'],[29]
109,109,['2007'],[29]
110,110,"['September 5, 2007']",[30]
111,111,['2007'],[30]
112,112,['Brick'],[31]
113,113,"['Parachute, Solitaire, and Music Quiz']",[31]
114,114,['easter egg'],[31]
115,115,['Brick'],[31]
116,116,"['Parachute, Solitaire, and Music Quiz']",[31]
117,117,['2006'],[32]
118,118,['iTunes 7'],[32]
119,119,['5th generation'],[32]
120,120,['4th generation'],[32]
121,121,['2006'],[32]
122,122,['fifth'],[32]
123,123,['video game handheld console market'],[33]
124,124,['GamePro and EGM'],[33]
125,125,['.ipg'],[34]
126,126,['iOS'],[34]
127,127,['iPod Touch and iPhone'],[34]
128,128,['not'],[34]
129,129,['third-party'],[35]
130,130,['iTunes'],[35]
131,131,['hidden'],[36]
132,132,['manual'],[36]
133,133,['2005'],[37]
134,134,['patent infringement'],[37]
135,135,"['Sony, RealNetworks, Napster, and Musicmatch']",[37]
136,136,['Ho Keung Tse'],[37]
137,137,['Advanced Audio Devices'],[37]
138,138,['FairPlay'],[37]
139,139,['rotational user inputs'],[38]
140,140,['August 2005'],[38]
141,141,['Creative Technology'],[38]
142,142,['Zen Patent'],[38]
143,143,['rotational user inputs'],[38]
144,144,"['August 24, 2006']",[39]
145,145,['$100 million'],[39]
146,146,['the Made for iPod program'],[39]
147,147,['90%'],[40]
148,148,['2004'],[40]
149,149,['72.7%'],[40]
150,150,['Bloomberg Online'],[40]
151,151,['90%'],[40]
152,152,['70%'],[40]
153,153,"['January 8, 2004']",[41]
154,154,['Wal-Mart'],[41]
155,155,['hundred million'],[42]
156,156,['32%'],[42]
157,157,['$5.2 billion'],[42]
158,158,['32%'],[42]
159,159,['19.22%'],[43]
160,160,['$15.4 billion'],[43]
161,161,['$1.58 billion'],[44]
162,162,['21%'],[44]
163,163,['42%'],[44]
164,164,['2009'],[45]
165,165,['14.21%'],[45]
166,166,['220 million'],[45]
167,167,['fourth'],[46]
168,168,['Sony Ericsson and Nokia'],[46]
169,169,['WMA'],[46]
170,170,['Sony Ericsson and Nokia'],[46]
171,171,['business'],[47]
172,172,['communication and training'],[47]
173,173,['Royal and Western Infirmaries'],[47]
174,174,['Entertainment Weekly'],[48]
175,175,['Duke'],[48]
176,176,['Entertainment Weekly'],[48]
177,177,['the Album Era'],[49]
178,178,['music industry'],[49]
179,179,['digital music storage'],[49]
180,180,['the Album Era'],[49]
181,181,['14 hours'],[50]
182,182,['MP3.com'],[50]
183,183,['2003'],[50]
184,184,['8 hours'],[50]
185,185,['third-party vendors'],[51]
186,186,['refurbished replacement iPod'],[51]
187,187,['lithium-ion'],[51]
188,188,['batteries'],[51]
189,189,['lithium-ion'],[51]
190,190,['$99'],[52]
191,191,['soldering tools'],[52]
192,192,['Fifth generation'],[52]
193,193,['2003'],[52]
194,194,['$99'],[52]
195,195,['Nano'],[52]
196,196,['Apple product replacement program'],[53]
197,197,['13.7%'],[54]
198,198,['late 2005'],[54]
199,199,['screen'],[54]
200,200,['The Mail on Sunday'],[55]
201,201,['35%'],[55]
202,202,['Verité'],[56]
203,203,['Electronic Industry Code of Conduct Implementation Group'],[56]
204,204,['Foxconn'],[56]
205,205,"['Longhua, Shenzhen']",[56]
206,206,['Foxconn'],[56]
207,207,['Verité'],[56]
208,208,['2006'],[56]
209,209,['2010'],[57]
210,210,['2010'],[57]
211,211,['innovation'],[58]
212,212,['2008'],[59]
213,213,"['69,197']",[59]
214,214,['2008'],[59]
215,215,['02:28:01 PM China Standard Time'],[59]
216,216,['Beijing and Shanghai'],[60]
217,217,"['Wenchuan County, Sichuan']",[60]
218,218,['15 million'],[61]
219,219,['1 trillion RMB'],[61]
220,220,"['18,222']",[61]
221,221,['80%'],[62]
222,222,['2 minutes'],[62]
223,223,['10 km'],[63]
224,224,['Longmenshan fault'],[63]
225,225,['first 80 sec.'],[63]
226,226,['9 meters'],[63]
227,227,['1972'],[64]
228,228,['reports predicting the earthquake'],[64]
229,229,['up to 9 meters'],[65]
230,230,['240 km long'],[65]
231,231,['northeastern and southwestern ends'],[65]
232,232,['shallowness of the epicenter'],[66]
233,233,['within 72 hours of the main quake.'],[67]
234,234,"['42,719']",[67]
235,235,['6.4 MS'],[67]
236,236,"['August 5, 2008']",[67]
237,237,['southern Sichuan'],[68]
238,238,['Panzhihua earthquake'],[68]
239,239,['very destructive'],[69]
240,240,['very disastrous'],[69]
241,241,['3 metres'],[70]
242,242,['2.3 metres'],[70]
243,243,['4.8 metres'],[70]
244,244,['Shanghai's financial district'],[71]
245,245,['Beijing'],[72]
246,246,"['Hui County, Gansu']",[72]
247,247,['venues'],[72]
248,248,"['Hui County, Gansu']",[72]
249,249,['All of the highways'],[73]
250,250,['80%'],[73]
251,251,['two chemical plants'],[73]
252,252,['fewer than 60'],[73]
253,253,['southwestern China'],[74]
254,254,['Shenzhen Stock Exchange'],[74]
255,255,['mobile and terrestrial'],[75]
256,256,['internet'],[75]
257,257,['months'],[75]
258,258,['Sichuan area'],[75]
259,259,['the government'],[75]
260,260,['major news and media'],[75]
261,261,['more than 700'],[76]
262,262,['the Wolong National Nature Reserve'],[77]
263,263,['Wolong National Nature Reserve'],[77]
264,264,['Six'],[77]
265,265,['Hydropower Plant'],[78]
266,266,['391'],[78]
267,267,['Tulong reservoir'],[78]
268,268,"['374,176']",[79]
269,269,"['18,498']",[79]
270,268,"['374,176']",[79]
271,270,['tried to repair roads'],[79]
272,271,['in Wenchuan'],[80]
273,272,"['3,000 to 5,000']",[80]
274,273,['Eight schools'],[80]
275,274,['Health care'],[81]
276,275,['neglected and untouched'],[81]
277,276,['insufficient'],[81]
278,277,['thousands'],[82]
279,278,"['1,700']",[82]
280,279,"['1,700']",[82]
281,280,"['7,000']",[82]
282,281,['600'],[82]
283,282,['546'],[83]
284,283,['5 million'],[84]
285,284,['12.5 million'],[84]
286,285,['a million'],[84]
287,286,['team of engineers'],[86]
288,287,['survey of damaged buildings'],[86]
289,288,"['the poorer, rural villages']",[87]
290,289,['rural part'],[87]
291,290,['very strong'],[87]
292,291,['minor damage'],[88]
293,292,['US$75 billion'],[88]
294,293,['five largest cities'],[88]
295,294,['6.0 Mw'],[89]
296,295,['1000'],[89]
297,296,"['Qingchuan, Sichuan']",[89]
298,297,['Wei Hong'],[90]
299,298,"['1,300']",[90]
300,299,['Wei Hong'],[90]
301,300,"['200,000']",[90]
302,301,['geomechanics'],[91]
303,302,['the rescue work'],[91]
304,303,['Level II emergency'],[92]
305,304,['most serious'],[92]
306,305,['184'],[93]
307,306,['Armed Police General Hospital'],[93]
308,307,['in two military transport planes'],[93]
309,308,['Book Blade'],[94]
310,309,['June 1'],[95]
311,310,['Saudi Arabia'],[96]
312,310,['Saudi Arabia'],[96]
313,311,['four'],[96]
314,312,['3 years'],[97]
315,313,['one province to one affected county'],[97]
316,314,['one percent'],[97]
317,315,['the time of the 2008 Sichuan earthquake'],[99]
318,316,['statistics'],[99]
319,317,['that earthquake prediction was a global issue'],[100]
320,318,['no proven methods exist'],[100]
321,319,['no prediction notification'],[100]
322,320,['did not see anything'],[100]
323,321,['Chen Xuezhong'],[101]
324,322,['over 7.0'],[101]
325,323,['the traffic problem'],[103]
326,324,['donating cash'],[103]
327,325,['Tibetan village of Sier'],[103]
328,326,"['15,600']",[104]
329,327,"['around 3,000']",[104]
330,328,['the deployment of an additional 90 helicopters'],[105]
331,329,['civil aviation industry'],[105]
332,330,['non-combat airlifting'],[105]
333,331,['international help'],[106]
334,332,['cope with the quake'],[106]
335,333,['chartered cargo flight'],[107]
336,334,['Chengdu'],[107]
337,335,['Chinese authorities'],[108]
338,336,['May 16'],[108]
339,337,['satellite images'],[108]
340,338,['tents and generators'],[108]
341,339,['The Internet'],[109]
342,340,['an online rescue request center'],[109]
343,341,['to find the blind spots of disaster recovery'],[109]
344,342,['news agency Xinhua'],[109]
345,343,['contact information'],[109]
346,344,['a moment of silence'],[110]
347,345,['the sealed ruins of the Beichuan county seat'],[110]
348,346,['three days'],[110]
349,347,['a moment of silence'],[110]
350,348,['several concerts'],[110]
351,349,['the terrible disaster'],[110]
352,350,['China Unicom and China Mobile'],[111]
353,351,['$772 million'],[111]
354,352,"['788,000 yuan']",[112]
355,353,['Wenchuan County'],[112]
356,354,"['US$143,000']",[112]
357,355,"['30,000']",[112]
358,356,['The Amity Foundation'],[112]
359,357,['tofu-dregs schoolhouses'],[113]
360,358,['$1.57 million'],[114]
361,359,['The Giving of Love'],[114]
362,360,['CCTV'],[114]
363,361,['1.57 million'],[114]
364,362,['the dam bursting'],[117]
365,363,['Mao Zedong'],[118]
366,364,['Olympic torch relay'],[119]
367,365,['in Ningbo'],[119]
368,366,['Ye Zhiping'],[121]
369,367,"['400,000 yuan']",[121]
370,368,['An County'],[121]
371,369,['to gain first-hand material of construction quality'],[122]
372,370,['safety checks'],[122]
373,371,['schools across China'],[122]
374,372,['Reuters'],[122]
375,373,['money'],[123]
376,374,['riot police'],[123]
377,375,['government officials'],[123]
378,376,['on school collapses'],[123]
379,377,['that he was being investigated on suspicion of the crime of inciting subversion'],[124]
380,378,['crime of inciting subversion'],[124]
381,379,['put them online'],[124]
382,380,['in 2007'],[125]
383,381,['massive casualties'],[125]
384,382,['that China formally requested the support of the international community'],[126]
385,383,['condolences and assistance'],[126]
386,384,['$26 million'],[127]
387,385,['Yao Ming'],[127]
388,386,['26 million'],[127]
389,387,['swift and very efficient'],[128]
390,388,['secretive'],[128]
391,389,['programmes suspended'],[129]
392,390,['response to the quake'],[130]
393,391,['poorly built schools'],[131]
394,392,['state-controlled media'],[132]
395,393,['The AP'],[132]
396,394,['builders cut corners'],[133]
397,395,['their only child'],[134]
398,396,['World Wide Web'],[135]
399,397,['Brewster Kahle and Bruce Gilliat'],[135]
400,398,['to archive the entire Internet'],[136]
401,399,['The Rocky and Bullwinkle Show'],[137]
402,400,['1996'],[138]
403,401,['fifth anniversary'],[139]
404,402,"['University of California, Berkeley']",[139]
405,403,['Sun Microsystems' California campus'],[143]
406,404,['2011'],[144]
407,405,['October 2013'],[146]
408,406,['Magistrate Judge Howard Lloyd'],[149]
409,407,['district Court Judge Ronald Guzman'],[150]
410,408,['in examining a patent application'],[151]
411,409,['authoritative statement of the archivist'],[151]
412,410,['copyright laws'],[153]
413,411,['delete pages from its system'],[153]
414,412,['Scientology'],[154]
415,413,['voluntary'],[156]
416,414,['Robots.txt'],[156]
417,415,['profane-justice.org'],[158]
418,416,"['April 25, 2007']",[159]
419,417,['DMCA requests'],[160]
420,418,['Queen Elizabeth II'],[163]
421,419,['the early 1990s'],[164]
422,420,['out of area'],[165]
423,421,['2008'],[166]
424,422,['North America'],[166]
425,423,['invasion by the United States'],[168]
426,424,['Halifax'],[169]
427,425,['1906'],[169]
428,426,['the Department of Militia and Defence'],[169]
429,427,['more than 200 operations'],[171]
430,428,"['Cold War, First Gulf War, Kosovo War']",[171]
431,429,['an aircraft carrier'],[171]
432,430,['Croatia'],[172]
433,431,['the Soviet Union'],[173]
434,432,"['the Royal Canadian Navy, Canadian Army, and Royal Canadian Air Force']",[174]
435,433,['1931'],[174]
436,434,['Canadian Armed Forces'],[175]
437,435,['2013'],[175]
438,436,"['approximately 119,000']",[177]
439,437,['C-130 Hercules'],[179]
440,438,['5 February 1987'],[181]
441,439,['the Minister of National Defence'],[181]
442,440,['100 percent'],[182]
443,441,['the government of Jean Chretien'],[182]
444,442,['It begins at the top with the most senior-ranking personnel and works its way into lower organizations.'],[184]
445,443,['the advice of his or her ministers in Cabinet'],[185]
446,444,['the Chief of the Defence Staff'],[186]
447,445,"['the heads of the Royal Canadian Navy, the Canadian Army, the Royal Canadian Air Force and other key Level 1 organizations.']",[186]
448,446,['Saint-Jean-sur-Richelieu'],[187]
449,447,"['the 2nd Canadian Division, the 3rd Canadian Division, the 4th Canadian Division and the 5th Canadian Division']",[189]
450,448,['the 5th Canadian Division'],[189]
451,449,['a field ambulance'],[190]
452,450,"['CFB Gagetown, CFB Montreal and CFB Wainwright.']",[191]
453,451,"['Alberta, Saskatchewan, Manitoba']",[193]
454,452,['Winnipeg and North Bay'],[193]
455,453,"['Geilenkirchen, Germany']",[193]
456,454,['Arctic sovereignty patrols.'],[194]
457,455,['electronic warfare and the protection of the Armed Forces' communications and computer networks'],[197]
458,456,['June 2011'],[197]
459,457,['Joint Task Force'],[198]
460,458,['domestic support'],[198]
461,459,['Chief of Reserves and Cadets'],[200]
462,460,['officers of the Cadet Instructors Cadre'],[201]
463,461,['provide surveillance and patrol services'],[202]
464,462,['service dress'],[203]
465,463,['Approved parkas'],[203]
466,464,['a ceremonial/regimental full dress'],[203]
467,465,"['beret, wedge cap, ballcap']",[204]
468,466,['The beret'],[204]
469,467,['The Constitution of Canada'],[205]
470,468,['a church in Rome as his titular church or linked with one of the suburbicarian dioceses'],[207]
471,469,['the deacons of the seven regions of the city'],[209]
472,470,['8th century'],[209]
473,471,['cardinal'],[210]
474,472,['1567'],[210]
475,473,['747'],[210]
476,474,['1567'],[210]
477,475,['Pope Pius IV'],[211]
478,476,['secular affairs.'],[213]
479,477,['Cardinal Richelieu'],[213]
480,478,"['Henry, King of Portugal']",[213]
481,479,"['comprising six cardinal bishops, 50 cardinal priests, and 14 cardinal deacons.']",[214]
482,480,['120'],[214]
483,481,['120'],[214]
484,482,['the number of cardinals generally'],[214]
485,483,['Prince'],[217]
486,484,['Cardinal [First name] [Surname]'],[218]
487,485,['because they do not belong to the Roman clergy'],[218]
488,486,['[First name] Cardinal [Surname]'],[219]
489,487,['1378'],[219]
490,488,['the cardinalate'],[220]
491,489,['Cardinal bishops'],[221]
492,490,['cardinals of the episcopal order'],[221]
493,491,['To preserve apostolic succession'],[222]
494,492,"['Ostia, Albano, Porto and Santa Rufina, Palestrina, Sabina and Mentana, Frascati and Velletri']",[223]
495,493,['1962'],[224]
496,494,['1969'],[228]
497,495,['Eastern Catholic cardinals'],[229]
498,496,['rochet'],[230]
499,497,['the scarlet color of cardinals' vesture'],[230]
500,498,['the cardinalate expires'],[231]
501,499,['marry'],[233]
502,500,['only those who are already priests or bishops may be appointed cardinals'],[233]
503,501,['white'],[238]
504,502,['cardinal deacons'],[242]
505,503,['cardinal deacons'],[246]
506,504,['1587'],[249]
507,505,"['life expectancy, education, and income per capita']",[252]
508,506,['the HDI'],[253]
509,507,['1990'],[254]
510,508,['Amartya Sen'],[254]
511,509,['Life expectancy at birth'],[255]
512,510,['Expected years of schooling'],[255]
513,511,['2014'],[257]
514,512,"['July 24, 2014']",[258]
515,513,['Cuba'],[260]
516,514,['North Korea'],[261]
517,515,['unavailability of certain crucial data'],[263]
518,516,"['November 4, 2010']",[264]
519,517,['2010'],[264]
520,518,['unavailability of certain crucial data'],[266]
521,519,['Cuba'],[266]
522,520,['period up to 2007'],[267]
523,521,['very high human development'],[267]
524,522,['an accompanying Human Development Report'],[269]
525,523,"['Brasília, Brazil']",[270]
526,524,['high income countries'],[271]
527,525,['Gabon and South Africa'],[272]
528,526,['0.8'],[273]
529,527,['Blue dash'],[274]
530,528,['Western'],[276]
531,529,['three'],[277]
532,530,['2010'],[277]
533,531,['divisive person'],[291]
534,532,['sound'],[291]
535,533,['Orthodox Christianity'],[292]
536,534,['Irenaeus'],[293]
537,535,['orthodox'],[293]
538,536,['apostolic succession'],[293]
539,537,['Edict of Milan'],[294]
540,538,['Pontifex Maximus'],[294]
541,539,['the ecumenical councils'],[294]
542,540,['AD 380'],[295]
543,541,['Thessalonica of Theodosius I'],[295]
544,542,['Priscillian'],[296]
545,543,['The Codex Justinianus'],[297]
546,544,"['Arianism, Pelagianism, Donatism, Marcionism and Montanism']",[297]
547,545,['the Sun lies motionless at the centre of the universe'],[299]
548,546,['Pope St. Gregory'],[300]
549,547,['Eastern Christianity'],[301]
550,548,['European Reformation'],[303]
551,549,['Sir Thomas More and Cardinal John Fisher'],[303]
552,550,['1612'],[303]
553,551,"['1659, 1660, and 1661']",[304]
554,552,['1826'],[305]
555,553,['Protestant'],[306]
556,554,['Sharia law'],[309]
557,555,['right-wing groups'],[310]
558,556,['squirreling'],[311]
559,557,['innovation'],[312]
560,558,['an abstraction'],[312]
561,559,['the field hasn't tested dinosaur orthodoxy severely enough'],[313]
562,560,['West Germany'],[316]
563,561,['the USSR'],[319]
564,562,['Western Europe'],[320]
565,563,['1952'],[322]
566,564,['the USA'],[323]
567,565,['1954'],[327]
568,566,['containment'],[332]
569,567,['2005'],[337]
570,568,['1979'],[337]
571,569,['a form of philosophical monism'],[339]
572,570,"['spacetime, physical energies and forces, dark matter']",[340]
573,571,['materialist'],[343]
574,572,['600 BC'],[346]
575,573,['Hayy ibn Yaqdhan (Philosophus Autodidactus)'],[350]
576,574,['1592-1665'],[351]
577,575,['1596-1650'],[351]
578,576,['1788-1860'],[352]
579,577,['Ludwig Feuerbach'],[353]
580,578,['matter and energy'],[356]
581,579,['energy'],[356]
582,580,['Lambda-CDM model'],[357]
583,581,['dark matter'],[357]
584,582,['The Matter Myth'],[359]
585,583,['information'],[360]
586,584,['Christians'],[362]
587,585,['public house'],[372]
588,586,['Samuel Pepys'],[372]
589,587,['clear glass'],[374]
590,588,['pub landlord'],[375]
591,589,['locals'],[375]
592,590,['darts'],[375]
593,591,['pool or snooker'],[375]
594,592,['the jug and bottle'],[376]
595,593,['green'],[377]
596,594,['community gathering places'],[379]
597,595,['the UK'],[380]
598,596,['The George'],[380]
599,597,['Scotland'],[380]
600,598,['lodging'],[381]
601,599,['Inns of Court'],[382]
602,600,['Wales'],[382]
603,601,['1742'],[385]
604,602,"['""Gin Palaces""']",[386]
605,603,['low alcohol content'],[387]
606,604,['reducing public drunkenness'],[387]
607,605,['£168'],[388]
608,606,['beer or cider'],[388]
609,607,['Sundays'],[388]
610,608,['jugs'],[388]
611,609,['spirits and fortified wines'],[388]
612,610,['1869'],[389]
613,611,['the crown'],[392]
614,612,['19th'],[393]
615,613,['special Licensing Sessions courts'],[394]
616,614,['ex-servicemen or ex-policemen'],[394]
617,615,['Occasional Licences'],[394]
618,616,['owner'],[395]
619,617,['the Defence of the Realm Act'],[396]
620,618,['August 1914'],[396]
621,619,['Pembrokeshire'],[396]
622,620,['11.30 pm'],[399]
623,621,['1915'],[400]
624,622,['allowing smoking'],[400]
625,623,['April 2007'],[401]
626,624,['Carlsberg and Heineken'],[401]
627,625,['Wetherspoon'],[401]
628,626,['Balls Pond Road'],[402]
629,627,['The Eagle'],[402]
630,628,['18th'],[402]
631,629,['saloon'],[404]
632,630,['removal of the dividing wall or partition'],[405]
633,631,['snug'],[406]
634,632,['frosted glass'],[406]
635,633,"['50,000']",[407]
636,634,['Isambard Kingdom Brunel'],[409]
637,635,['Swindon station pub'],[409]
638,636,['1742'],[410]
639,637,['1659'],[410]
640,638,['London Gazette'],[411]
641,639,['20 to 30'],[412]
642,640,['handpump'],[413]
643,641,['a Free house'],[414]
644,642,['landlord'],[414]
645,643,['Young's and Fuller's'],[415]
646,644,['1989'],[415]
647,645,['O'Neill's'],[416]
648,646,['PubCo'],[416]
649,647,['the UK'],[416]
650,648,['country pub'],[419]
651,649,['theme pubs'],[421]
652,650,['strip pubs'],[421]
653,651,['karaoke bars'],[421]
654,652,['Richard II'],[422]
655,653,['forfeit his ale'],[422]
656,654,['the Middle Ages'],[423]
657,655,['the illustration on the pub's sign'],[423]
658,656,['Latin'],[424]
659,657,['The Cross'],[424]
660,658,['East Sussex'],[425]
661,659,['royal'],[425]
662,660,['Slug and Lettuce'],[427]
663,661,['comic'],[427]
664,662,['to identify and differentiate each pub'],[427]
665,663,"['John Manners, Marquess of Granby']",[429]
666,664,['general'],[429]
667,665,['the Royal George'],[429]
668,666,['Bacchanals'],[430]
669,667,['cribbage'],[431]
670,668,['Sunday League Football'],[433]
671,669,['Bowling'],[433]
672,670,['Punk music'],[434]
673,671,['mobile shellfish stalls'],[435]
674,672,['pickled cockles and mussels'],[435]
675,673,['Pub grub'],[437]
676,674,['pub and gastronomy'],[438]
677,675,['1991'],[438]
678,676,['thirty-six'],[439]
679,677,['London'],[439]
680,678,['Belfast'],[439]
681,679,['Northern Ireland'],[439]
682,680,['the Tan Hill Inn'],[440]
683,681,['Inverie'],[440]
684,682,['11th'],[441]
685,683,['Nottingham'],[441]
686,684,['1086'],[441]
687,685,['560'],[442]
688,686,['1240'],[443]
689,687,['Stalybridge'],[444]
690,688,['the Q Inn'],[444]
691,689,['The Old 13th Cheshire Rifleman Corps Inn'],[444]
692,690,['Cheshire'],[444]
693,691,['gastro-pubs'],[445]
694,692,['2015'],[446]
695,693,['Buckinghamshire'],[447]
696,694,['Ye Olde Cheshire Cheese'],[448]
697,695,['the Cock Tavern'],[448]
698,696,['16 Charlotte Street'],[449]
699,697,['The Canonbury Tavern'],[449]
700,698,['Parliament Square'],[450]
701,699,['Mayfair'],[450]
702,700,['The Coleherne'],[450]
703,701,['The Magdala'],[451]
704,702,['1903'],[451]
705,703,['The Angel'],[452]
706,704,['Islington'],[452]
707,705,['a coaching inn'],[452]
708,706,['BBC One'],[454]
709,707,['the student's union'],[457]
710,708,['1990s'],[457]
711,709,['browser'],[458]
712,710,['World Wide Web'],[458]
713,711,['private networks'],[459]
714,712,['1990'],[460]
715,713,['Sir Tim Berners-Lee'],[460]
716,714,['the World Wide Web Consortium'],[460]
717,715,['Netscape'],[461]
718,716,['Netscape Navigator'],[461]
719,717,['browser war'],[462]
720,718,['Nintendo's Wii'],[463]
721,719,['sales of Windows to computer manufacturers and direct to users'],[467]
722,720,['Mac'],[467]
723,721,['January 2009'],[468]
724,722,['competition between web browsers'],[468]
725,723,['Uniform Resource Locator'],[472]
726,724,['The prefix of the URL'],[472]
727,725,['Internet Relay Chat'],[475]
728,726,['pop-up blockers'],[476]
729,727,['browser extension'],[477]
730,728,['bookmarked'],[478]
731,729,['Favorites'],[478]
732,730,['feed aggregator'],[478]
733,731,['Most browsers'],[479]
734,732,['problems with interoperability'],[480]
735,733,['Web browsers'],[481]
736,734,['Valencian'],[482]
737,735,['Andorra'],[482]
738,736,['mass media'],[485]
739,737,['the same language'],[486]
740,738,['Iberian Peninsula'],[487]
741,739,['pronunciation'],[487]
742,740,"['singular, plural']",[488]
743,741,['inflectional'],[488]
744,742,['Catalonia'],[489]
745,743,['Catellain'],[490]
746,744,['French'],[490]
747,745,['1652'],[490]
748,746,['Hispania Tarraconensis'],[492]
749,747,['13th century'],[494]
750,748,['Murcia'],[494]
751,749,['15th century'],[494]
752,750,['city of Valencia'],[495]
753,751,['Catalan'],[495]
754,752,['Costa Carreras'],[495]
755,753,['Martorell'],[496]
756,754,['Metge'],[496]
757,755,['Treaty of the Pyrenees'],[498]
758,756,['French'],[498]
759,757,['patois'],[499]
760,758,['French'],[501]
761,759,['General Council of the Pyrénées-Orientales'],[501]
762,760,['Catalan'],[502]
763,761,['1714'],[502]
764,762,['Catalan literary revival'],[503]
765,763,['early 20th'],[503]
766,764,['in all schools'],[504]
767,765,['Catalan medium education'],[505]
768,766,['Catalan'],[505]
769,767,['60 or older'],[506]
770,768,['30%'],[506]
771,769,['Catalan'],[506]
772,770,['Spanish'],[507]
773,771,['Catalan'],[507]
774,772,['linguists'],[508]
775,773,['closely related'],[509]
776,774,['Spanish and Portuguese'],[510]
777,775,['80%'],[511]
778,776,['Occitan'],[513]
779,777,['Germanic superstrate'],[514]
780,778,['Arabic element'],[515]
781,779,['Arabic loanwords'],[515]
782,780,['Spanish'],[515]
783,781,['of Arabic origin'],[515]
784,782,['cultural affinity and common heritage'],[517]
785,783,['no official status'],[517]
786,784,['Various interpretations'],[517]
787,785,['Països Catalans'],[517]
788,786,['many monosyllabic words'],[518]
789,787,['obstruent'],[518]
790,788,['Vulgar Latin'],[520]
791,789,['Spanish'],[520]
792,790,['Dialects'],[520]
793,791,['three'],[521]
794,792,['section pronunciation'],[521]
795,793,['other languages in contact'],[522]
796,794,['other Romance languages'],[523]
797,795,['treatment of unstressed a and e'],[524]
798,796,['distinct'],[524]
799,797,['Eastern block'],[525]
800,798,['subdialects'],[525]
801,799,['Central Catalan'],[526]
802,800,['Western Romance'],[520]
803,801,['Majorcan'],[528]
